EmployeeNumber,Attrition,Age,Gender,MaritalStatus,DistanceFromHome,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,Department,BusinessTravel,JobRole,JobLevel,OverTime,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,YearsAtCompany,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,
521,No,40,Female,Married,2,Bachelor,Medical,6,20,3,Research & Development,Travel_Rarely,Laboratory Technician,2,No,3448,78,555,13436,22,1,High,Medium,Better,Good,Medium,4,1,0,0,0,
522,No,54,Male,Married,5,College,Medical,4,24,4,Research & Development,Travel_Rarely,Research Director,5,No,19406,86,821,8509,11,1,Low,Low,Good,Better,High,3,4,1,2,2,
523,No,34,Female,Married,4,Master,Marketing,9,6,3,Sales,Non-Travel,Sales Executive,2,No,6538,72,1381,12740,15,1,High,High,Better,Bad,High,3,3,1,2,2,
524,No,31,Female,Married,7,College,Medical,1,13,5,Research & Development,Travel_Rarely,Manufacturing Director,2,No,4306,31,480,4156,12,1,Low,Medium,Bad,Good,High,3,13,3,10,12,
525,No,43,Male,Married,21,Bachelor,Medical,7,8,1,Research & Development,Travel_Frequently,Laboratory Technician,1,No,2258,61,313,15238,20,1,Very High,Very High,Better,Bad,High,4,3,1,2,2,
526,No,43,Female,Divorced,8,Master,Other,4,8,3,Research & Development,Travel_Rarely,Healthcare Representative,2,Yes,4522,74,1473,2227,14,0,High,High,Better,Best,High,3,5,0,2,2,
527,No,25,Female,Single,4,College,Life Sciences,1,5,3,Sales,Travel_Rarely,Sales Executive,2,Yes,4487,99,891,12090,11,0,Very High,Medium,Better,Good,Medium,3,5,1,4,3,
529,No,37,Female,Married,25,Doctor,Medical,3,15,2,Research & Development,Non-Travel,Research Scientist,2,Yes,4449,72,1063,23866,15,2,High,Medium,Better,Bad,High,3,13,10,11,7,
530,No,31,Male,Married,1,College,Life Sciences,1,4,3,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2218,98,329,16193,12,1,Low,Very High,Better,Better,Medium,3,4,3,2,2,
531,No,39,Male,Divorced,1,Below College,Life Sciences,1,21,3,Research & Development,Travel_Frequently,Manager,5,Yes,19197,52,1218,8213,14,1,High,Medium,Better,Better,High,3,21,1,8,6,
532,No,56,Female,Married,6,Bachelor,Life Sciences,9,36,0,Sales,Travel_Frequently,Sales Executive,4,No,13212,86,906,18256,11,3,Low,High,Good,Best,Very High,3,7,7,7,7,
533,No,30,Female,Single,12,Bachelor,Technical Degree,0,6,6,Sales,Travel_Rarely,Sales Executive,2,No,6577,83,1082,19558,11,0,High,Medium,Better,Good,High,3,5,4,4,4,
534,No,41,Male,Married,1,Bachelor,Marketing,1,10,2,Sales,Travel_Rarely,Sales Executive,3,No,8392,49,645,19566,16,1,Low,Medium,Better,Better,Very High,3,10,0,7,7,
536,No,28,Male,Divorced,17,College,Medical,1,10,2,Research & Development,Travel_Rarely,Laboratory Technician,2,No,4558,79,1300,13535,12,1,Low,High,Better,Best,High,3,10,1,0,8,
538,Yes,25,Male,Married,3,Bachelor,Medical,5,6,5,Research & Development,Travel_Rarely,Laboratory Technician,1,No,4031,91,688,9396,13,1,Low,Low,Better,Better,High,3,2,0,2,2,
543,No,52,Male,Married,3,Bachelor,Medical,2,28,4,Research & Development,Travel_Rarely,Manufacturing Director,3,Yes,7969,39,319,19609,14,0,High,Very High,Better,Better,Medium,3,5,0,4,4,
544,No,45,Male,Married,10,College,Life Sciences,3,8,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2654,69,192,9655,21,2,Very High,Low,Good,Best,High,4,2,0,2,2,
546,No,52,Female,Married,4,College,Life Sciences,2,31,2,Research & Development,Travel_Rarely,Manager,4,No,16555,30,1490,10310,13,0,Very High,Very High,Bad,Best,High,3,5,1,2,4,
547,No,42,Female,Divorced,29,College,Life Sciences,2,19,3,Research & Development,Travel_Frequently,Research Scientist,2,No,4556,92,532,12932,11,1,High,Low,Better,Good,High,3,5,0,4,2,
548,No,30,Female,Single,2,Bachelor,Life Sciences,2,11,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,6091,43,317,24793,20,0,Very High,High,Better,Better,Low,4,5,0,4,2,
549,No,60,Female,Married,7,Bachelor,Life Sciences,5,33,5,Research & Development,Travel_Rarely,Manager,5,No,19566,41,422,3854,11,0,Low,Low,Bad,Best,High,3,29,11,8,10,
550,No,46,Female,Divorced,18,Bachelor,Medical,2,19,5,Research & Development,Travel_Rarely,Manufacturing Director,2,No,4810,87,1485,26314,14,1,High,High,Good,Better,High,3,10,0,7,8,
551,No,42,Female,Married,28,Master,Technical Degree,0,7,4,Research & Development,Travel_Frequently,Healthcare Representative,2,No,4523,88,1368,4386,11,3,Very High,Very High,Best,Best,Medium,3,6,0,5,4,
554,Yes,24,Female,Single,1,Below College,Technical Degree,1,6,4,Sales,Travel_Rarely,Sales Representative,1,Yes,3202,62,1448,21972,16,0,Medium,Low,Better,Good,High,3,5,1,3,4,
555,Yes,34,Female,Divorced,6,College,Marketing,0,3,3,Sales,Travel_Frequently,Sales Representative,1,No,2351,33,296,12253,16,1,High,Very High,Good,Best,Low,3,2,1,2,0,
556,No,38,Male,Married,2,College,Life Sciences,1,1,3,Research & Development,Travel_Frequently,Laboratory Technician,1,Yes,1702,42,1490,12106,23,1,Very High,Very High,Better,Better,High,4,1,0,0,0,
558,No,40,Female,Married,2,Master,Life Sciences,0,21,2,Sales,Travel_Rarely,Manager,5,No,18041,79,1398,13022,14,0,High,High,Better,Best,High,3,20,1,15,12,
560,No,26,Female,Divorced,23,Bachelor,Life Sciences,1,3,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2886,90,1349,3032,22,2,Very High,Low,Bad,Good,High,4,3,0,2,2,
562,No,30,Male,Married,3,Bachelor,Life Sciences,4,9,3,Research & Development,Non-Travel,Laboratory Technician,1,No,2097,53,1400,16734,15,1,Very High,High,Bad,Better,High,3,5,1,3,4,
564,No,29,Male,Married,3,Master,Medical,1,10,2,Research & Development,Travel_Rarely,Research Director,3,No,11935,93,986,21526,18,0,High,Medium,Better,Better,Medium,3,10,0,2,7,
565,Yes,29,Female,Married,25,Doctor,Technical Degree,5,6,2,Research & Development,Travel_Rarely,Research Scientist,1,No,2546,71,408,18300,16,0,Medium,High,Best,Good,Medium,3,2,1,2,1,
566,Yes,19,Male,Single,2,College,Technical Degree,1,1,3,Human Resources,Travel_Rarely,Human Resources,1,No,2564,52,489,18437,12,0,Very High,Low,Best,Better,Medium,3,1,0,0,0,
567,No,30,Female,Married,22,Master,Other,0,10,3,Sales,Non-Travel,Sales Executive,3,No,8412,69,1398,2890,11,0,Low,High,Better,Better,High,3,9,7,8,8,
568,No,57,Male,Divorced,29,Bachelor,Marketing,3,32,3,Sales,Travel_Rarely,Manager,4,No,14118,56,210,22102,12,1,Very High,Low,Good,Better,Medium,3,1,0,0,0,
569,No,50,Male,Married,29,Master,Life Sciences,0,28,2,Research & Development,Travel_Rarely,Manager,4,No,17046,88,1099,9314,15,1,High,Medium,Better,Good,Medium,3,27,15,10,7,
571,No,30,Female,Single,2,Bachelor,Medical,0,12,2,Research & Development,Non-Travel,Laboratory Technician,1,No,2564,49,1116,7181,14,0,Very High,High,Good,Better,High,3,11,6,7,7,
573,No,60,Female,Married,28,Bachelor,Marketing,4,22,5,Sales,Travel_Frequently,Sales Executive,3,No,10266,80,1499,2845,19,0,Low,High,Best,Best,Medium,3,18,13,13,11,
574,No,47,Female,Divorced,2,College,Medical,5,20,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,5070,65,983,7389,13,3,Very High,Low,Better,Better,High,3,5,0,0,4,
575,No,46,Male,Married,2,Bachelor,Life Sciences,6,26,2,Research & Development,Travel_Rarely,Research Director,4,No,17861,51,1009,2288,13,0,High,Low,Bad,Better,High,3,3,0,2,1,
577,No,35,Male,Single,22,Bachelor,Life Sciences,0,6,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,4230,46,144,19225,15,0,High,Very High,Better,Better,Low,3,5,4,4,3,
578,No,54,Female,Single,8,Master,Life Sciences,7,19,3,Research & Development,Travel_Rarely,Laboratory Technician,2,No,3780,42,548,23428,11,0,High,High,Better,Better,High,3,1,0,0,0,
579,No,34,Male,Divorced,2,Master,Life Sciences,3,14,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2768,62,1303,8416,12,1,High,Very High,Better,Better,Medium,3,7,5,3,7,
580,No,46,Female,Married,10,Bachelor,Marketing,2,15,3,Sales,Travel_Rarely,Sales Executive,3,Yes,9071,94,1125,11563,19,1,Very High,High,Better,Better,Medium,3,3,1,2,2,
581,No,31,Male,Divorced,9,Below College,Life Sciences,1,13,6,Research & Development,Travel_Rarely,Manufacturing Director,3,No,10648,33,1274,14394,25,1,Medium,High,Best,Best,High,4,13,0,8,8,
582,Yes,33,Male,Married,15,Below College,Medical,7,15,2,Research & Development,Travel_Rarely,Manager,3,Yes,13610,56,1277,24619,12,0,High,Medium,Best,Best,High,3,7,7,6,7,
584,Yes,33,Male,Divorced,10,Below College,Medical,7,8,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,3408,38,587,6705,13,3,Very High,Low,Better,Bad,Low,3,4,1,3,3,
585,No,30,Male,Single,7,Below College,Marketing,0,4,3,Sales,Travel_Rarely,Sales Representative,1,No,2983,57,413,18398,14,0,Medium,Very High,Better,Bad,High,3,3,1,2,2,
586,No,35,Male,Married,16,Bachelor,Life Sciences,4,10,2,Research & Development,Travel_Rarely,Healthcare Representative,3,Yes,7632,72,1276,14295,12,0,High,Very High,Better,Better,High,3,8,0,7,0,
587,Yes,31,Male,Married,20,Bachelor,Life Sciences,3,12,2,Research & Development,Travel_Frequently,Healthcare Representative,3,No,9824,66,534,22908,12,0,High,Low,Better,Bad,High,3,1,0,0,0,
590,Yes,34,Female,Divorced,23,Bachelor,Human Resources,9,11,2,Human Resources,Travel_Frequently,Human Resources,3,Yes,9950,43,988,11533,15,3,Low,Medium,Better,Better,High,3,3,0,2,2,
591,No,42,Male,Married,5,College,Other,4,8,4,Research & Development,Travel_Frequently,Laboratory Technician,1,No,2093,97,1474,9260,17,1,High,Medium,Better,Best,High,3,2,2,2,0,
592,No,36,Male,Single,10,Master,Medical,1,10,3,Sales,Non-Travel,Sales Executive,3,No,9980,32,635,15318,14,0,Very High,Medium,Good,Best,High,3,10,9,3,7,
593,Yes,22,Male,Single,4,Below College,Technical Degree,5,4,3,Research & Development,Travel_Frequently,Laboratory Technician,1,No,3894,99,1368,9129,16,0,High,High,Better,Better,Medium,3,2,1,2,2,
595,No,48,Female,Married,2,Doctor,Marketing,2,14,2,Sales,Travel_Rarely,Sales Executive,2,No,4051,37,163,19658,14,1,Very High,Medium,Better,Bad,High,3,9,6,7,7,
597,No,55,Female,Single,18,Doctor,Life Sciences,3,37,2,Sales,Travel_Rarely,Manager,4,No,16835,83,1117,9873,23,0,Medium,Low,Better,Best,High,4,10,7,9,7,
599,No,41,Male,Single,10,College,Life Sciences,7,16,3,Sales,Non-Travel,Sales Executive,2,No,6230,56,267,13430,14,0,Very High,Very High,Better,Best,High,3,14,1,3,10,
600,No,35,Male,Married,1,Bachelor,Marketing,9,15,2,Sales,Travel_Rarely,Sales Executive,2,No,4717,85,619,18659,11,0,High,Medium,Better,Better,High,3,11,6,9,9,
601,No,40,Female,Single,6,Bachelor,Life Sciences,7,22,3,Research & Development,Travel_Rarely,Manufacturing Director,4,No,13237,75,302,20364,15,0,High,Medium,Better,Better,High,3,20,5,6,13,
602,No,39,Female,Married,8,Below College,Life Sciences,1,8,3,Research & Development,Travel_Frequently,Laboratory Technician,1,No,3755,48,443,17872,11,1,High,High,Better,Bad,High,3,8,0,3,7,
604,No,31,Male,Single,2,Below College,Life Sciences,4,10,2,Sales,Travel_Rarely,Sales Executive,2,Yes,6582,77,828,8346,13,0,Very High,Medium,Best,Better,High,3,6,0,5,5,
605,No,42,Male,Married,24,Bachelor,Medical,1,10,5,Research & Development,Travel_Rarely,Manufacturing Director,3,Yes,7406,56,319,6950,21,1,Low,Very High,Good,Best,High,4,10,5,9,8,
606,No,45,Male,Married,2,Bachelor,Other,0,9,3,Sales,Travel_Rarely,Sales Executive,2,No,4805,61,561,16177,19,1,Medium,Very High,Best,Good,High,3,8,3,7,7,
608,Yes,26,Female,Divorced,17,Master,Life Sciences,0,8,2,Human Resources,Travel_Frequently,Human Resources,1,Yes,2741,58,426,22808,11,1,High,Medium,Good,Good,High,3,7,1,7,0,
611,No,29,Male,Divorced,19,Bachelor,Technical Degree,4,8,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,4262,34,232,22645,12,2,Very High,Very High,Best,Good,High,3,3,1,2,2,
612,No,33,Female,Divorced,1,Doctor,Medical,4,10,2,Research & Development,Travel_Rarely,Research Director,4,No,16184,95,922,22578,19,1,High,Low,Better,Better,Very High,3,6,0,1,5,
613,No,31,Male,Divorced,7,Bachelor,Life Sciences,9,10,3,Sales,Travel_Rarely,Manager,3,No,11557,44,688,25291,21,1,Very High,High,Good,Better,Medium,4,5,0,4,1,
614,Yes,18,Male,Single,5,Bachelor,Marketing,1,0,3,Sales,Travel_Frequently,Sales Representative,1,Yes,1878,69,1306,8059,14,0,Medium,Medium,Better,Best,High,3,0,0,0,0,
615,No,40,Male,Divorced,28,Bachelor,Other,3,20,2,Sales,Non-Travel,Sales Executive,3,No,10932,58,1094,11373,15,1,Low,High,Better,Better,Low,3,1,0,0,1,
616,No,41,Female,Single,2,Master,Other,2,10,3,Research & Development,Non-Travel,Healthcare Representative,2,Yes,6811,62,509,2112,17,0,High,Low,Better,Bad,Medium,3,8,0,7,7,
618,No,26,Male,Divorced,29,College,Medical,5,8,5,Sales,Travel_Rarely,Sales Executive,2,No,4306,45,775,4267,12,2,High,Low,Better,Bad,High,3,0,0,0,0,
620,No,35,Female,Single,1,Bachelor,Medical,1,5,3,Sales,Travel_Rarely,Sales Executive,2,No,4859,80,195,6698,16,0,High,Low,Better,Best,High,3,5,0,4,3,
621,No,34,Male,Single,21,Master,Life Sciences,1,10,3,Sales,Travel_Rarely,Sales Executive,2,No,5337,74,258,19921,12,0,Very High,Very High,Better,Best,Very High,3,10,5,7,7,
622,Yes,26,Male,Single,24,Bachelor,Technical Degree,1,1,3,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,2340,66,471,23213,18,0,Very High,High,Bad,Good,Low,3,1,0,0,0,
623,No,37,Female,Single,1,Bachelor,Technical Degree,4,12,3,Research & Development,Travel_Rarely,Manufacturing Director,3,No,7491,59,799,23848,17,0,Very High,Medium,Best,Best,High,3,6,1,5,2,
624,No,46,Female,Married,18,Below College,Medical,5,28,3,Research & Development,Travel_Frequently,Healthcare Representative,3,No,10527,86,1034,8984,11,0,High,Low,Good,Best,High,3,2,1,2,2,
625,No,41,Female,Married,2,Doctor,Life Sciences,7,22,2,Sales,Travel_Rarely,Manager,4,No,16595,91,1276,5626,16,1,Low,Medium,Better,Good,High,3,18,11,16,8,
626,No,37,Male,Divorced,9,Master,Medical,1,9,6,Sales,Non-Travel,Sales Executive,3,No,8834,69,142,24666,13,1,Medium,Low,Better,Best,High,3,9,7,5,7,
630,No,52,Male,Divorced,6,College,Technical Degree,3,18,3,Research & Development,Travel_Rarely,Research Scientist,2,Yes,5577,78,956,22087,12,2,Low,Very High,Better,Good,High,3,10,6,9,9,
631,Yes,32,Male,Married,11,Master,Other,8,6,2,Sales,Non-Travel,Sales Executive,2,No,4707,60,1474,23914,12,0,High,Very High,Better,Best,Very High,3,4,1,2,2,
632,No,24,Male,Married,24,Bachelor,Medical,0,3,3,Sales,Travel_Frequently,Sales Representative,1,No,2400,38,535,5530,13,2,Very High,Very High,Better,Better,High,3,2,2,2,1,
634,No,38,Female,Married,10,Bachelor,Medical,3,18,4,Research & Development,Travel_Rarely,Healthcare Representative,2,No,9824,76,1495,22174,19,1,High,High,Better,Better,High,3,1,0,0,0,
635,No,37,Female,Married,1,Master,Life Sciences,6,8,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,6447,65,446,15701,12,1,Medium,Medium,Good,Good,High,3,6,4,5,3,
638,No,49,Male,Divorced,18,Master,Life Sciences,1,31,5,Research & Development,Travel_Rarely,Research Director,5,Yes,19502,58,1245,2125,17,1,High,Very High,Better,Better,Medium,3,31,0,9,9,
639,No,24,Male,Married,23,Bachelor,Medical,1,6,3,Research & Development,Travel_Rarely,Research Scientist,1,Yes,2725,89,691,21630,11,2,Very High,Medium,Better,Good,Very High,3,6,1,5,4,
641,No,26,Male,Married,28,College,Marketing,1,6,5,Sales,Travel_Rarely,Sales Executive,2,No,6272,66,703,7428,20,2,Medium,Low,Best,Best,High,4,5,1,3,4,
643,No,24,Male,Married,17,College,Other,1,1,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2127,94,823,9100,21,1,Medium,Very High,Better,Best,Medium,4,1,0,0,0,
644,No,50,Male,Married,3,Bachelor,Medical,1,32,2,Human Resources,Travel_Frequently,Manager,5,No,18200,99,1246,7999,11,1,Medium,Low,Better,Better,High,3,32,10,5,7,
645,No,25,Male,Married,13,Below College,Medical,1,7,1,Sales,Travel_Rarely,Sales Representative,1,No,2096,40,622,26376,11,0,High,Medium,Better,Better,High,3,7,0,4,6,
647,Yes,24,Female,Married,7,Bachelor,Life Sciences,1,6,4,Research & Development,Travel_Frequently,Laboratory Technician,1,Yes,2886,55,1287,14168,16,1,High,Low,Better,Best,High,3,6,1,3,2,
648,Yes,30,Male,Married,12,Master,Life Sciences,1,1,2,Sales,Travel_Frequently,Sales Representative,1,No,2033,74,448,14470,18,1,Low,Medium,Best,Better,Medium,3,1,0,0,0,
649,No,34,Male,Married,1,College,Life Sciences,1,6,3,Research & Development,Travel_Rarely,Research Scientist,1,Yes,3622,83,254,22794,13,1,Very High,Medium,Better,Best,Medium,3,6,1,5,3,
650,Yes,31,Male,Divorced,13,Master,Medical,2,9,2,Sales,Travel_Rarely,Sales Executive,2,No,4233,46,1365,11512,17,0,Low,Medium,Bad,Better,High,3,3,1,1,2,
652,No,35,Male,Single,25,College,Other,4,9,3,Research & Development,Travel_Rarely,Laboratory Technician,2,No,3681,54,538,14004,14,0,Very High,Low,Better,Best,Medium,3,3,0,2,2,
653,No,31,Male,Divorced,6,Master,Medical,4,13,4,Sales,Travel_Rarely,Sales Executive,2,No,5460,66,525,6219,22,2,Very High,Low,Best,Best,Very High,4,7,5,7,7,
655,No,27,Female,Divorced,6,Master,Medical,0,6,5,Research & Development,Travel_Rarely,Research Scientist,1,No,2187,66,798,5013,12,2,High,Low,Good,Better,Medium,3,5,0,3,3,
656,No,37,Male,Married,2,Bachelor,Marketing,4,17,3,Sales,Travel_Rarely,Sales Executive,2,Yes,9602,75,558,3010,11,1,High,Very High,Good,Better,High,3,3,1,0,0,
657,No,20,Female,Single,1,Bachelor,Life Sciences,1,1,0,Research & Development,Travel_Rarely,Research Scientist,1,No,2836,83,959,11757,13,0,Medium,Very High,Best,Best,Medium,3,1,0,0,0,
659,No,42,Female,Married,2,Master,Life Sciences,1,10,4,Research & Development,Travel_Rarely,Healthcare Representative,2,No,4089,81,622,5718,13,2,Very High,High,Better,Good,High,3,10,2,2,2,
661,No,43,Male,Divorced,6,Master,Other,4,21,3,Research & Development,Travel_Rarely,Research Director,4,Yes,16627,50,782,2671,14,1,Very High,Medium,Good,Better,Medium,3,1,0,0,0,
662,No,38,Female,Single,1,Below College,Life Sciences,3,8,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2619,43,362,14561,17,0,Low,High,Good,Best,High,3,0,0,0,0,
663,No,43,Male,Divorced,9,Doctor,Medical,3,10,3,Research & Development,Travel_Frequently,Laboratory Technician,2,Yes,5679,72,1001,19627,13,1,High,Very High,Better,Good,High,3,8,4,7,7,
664,No,48,Female,Married,1,Master,Life Sciences,7,21,3,Research & Development,Travel_Rarely,Manager,4,No,15402,40,1236,17997,11,1,Low,Very High,Bad,Bad,Medium,3,3,0,2,2,
665,No,44,Female,Single,1,Master,Life Sciences,4,10,1,Human Resources,Travel_Rarely,Human Resources,2,No,5985,50,1112,26894,11,0,High,Low,Best,Good,Medium,3,2,0,2,2,
666,No,34,Female,Divorced,14,Bachelor,Technical Degree,1,8,3,Sales,Travel_Rarely,Sales Representative,1,Yes,2579,31,204,2912,18,2,High,High,Better,Best,High,3,8,0,2,6,
667,Yes,27,Male,Divorced,2,Below College,Marketing,0,5,3,Sales,Travel_Rarely,Sales Representative,1,No,3041,85,1420,16346,11,1,Low,High,Better,Good,High,3,4,0,3,2,
669,No,21,Male,Single,22,Below College,Technical Degree,1,3,2,Sales,Travel_Rarely,Sales Representative,1,No,3447,49,1343,24444,11,0,High,High,Better,Better,High,3,3,1,2,2,
671,No,44,Male,Married,3,Master,Other,4,26,2,Research & Development,Travel_Rarely,Manager,5,Yes,19513,35,1315,9358,12,1,Very High,Very High,Best,Bad,High,3,2,0,2,1,
675,No,22,Male,Married,6,Below College,Medical,0,3,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2773,69,604,12145,20,0,High,Low,Better,Best,High,4,2,2,2,2,
677,No,33,Male,Divorced,8,Master,Marketing,0,6,3,Sales,Travel_Rarely,Sales Executive,2,No,7104,39,1216,20431,12,0,High,High,Better,Best,High,3,5,1,0,2,
679,No,32,Female,Married,9,Master,Life Sciences,1,6,2,Research & Development,Travel_Rarely,Research Scientist,2,Yes,6322,92,646,18089,12,1,Very High,Low,Good,Best,High,3,6,0,4,5,
680,No,30,Female,Divorced,3,Bachelor,Medical,1,1,2,Research & Development,Travel_Frequently,Research Scientist,1,No,2083,71,160,22653,20,1,High,High,Better,Better,High,4,1,0,0,0,
682,No,53,Female,Single,1,Below College,Medical,7,18,2,Sales,Travel_Rarely,Sales Executive,2,No,8381,34,238,7507,20,0,Low,Very High,Best,Best,High,4,14,8,7,10,
683,No,34,Male,Married,1,Doctor,Life Sciences,1,10,4,Research & Development,Travel_Rarely,Research Scientist,1,No,2691,42,1397,7660,12,1,Very High,Medium,Good,Best,High,3,10,8,9,8,
684,Yes,45,Female,Married,26,Master,Life Sciences,2,5,4,Sales,Travel_Frequently,Sales Executive,2,No,4286,100,306,5630,14,2,Low,Low,Better,Best,High,3,1,0,1,0,
686,No,26,Female,Married,6,Bachelor,Life Sciences,1,3,2,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,2659,71,991,17759,13,1,Very High,High,Better,Better,High,3,3,0,2,2,
689,No,37,Male,Married,3,Bachelor,Other,1,10,2,Research & Development,Travel_Rarely,Manufacturing Director,3,No,9434,36,482,9606,15,1,High,High,Better,Better,High,3,10,7,7,8,
690,No,29,Female,Married,3,College,Medical,1,6,5,Sales,Travel_Rarely,Sales Executive,2,No,5561,62,1176,3487,14,1,High,Medium,Good,Bad,High,3,6,1,0,2,
691,No,35,Male,Single,6,Master,Life Sciences,1,17,3,Research & Development,Travel_Rarely,Research Scientist,2,No,6646,82,1017,19368,13,0,Very High,Medium,Better,Good,Low,3,17,11,11,8,
692,No,33,Male,Divorced,6,Bachelor,Life Sciences,3,15,2,Research & Development,Travel_Frequently,Healthcare Representative,2,No,7725,30,1296,5335,23,1,Very High,High,Bad,Better,High,4,13,4,11,7,
698,No,54,Male,Married,19,Master,Medical,2,16,1,Human Resources,Travel_Rarely,Human Resources,3,No,10725,88,397,6729,15,1,Medium,High,Best,Better,High,3,9,7,7,1,
699,No,36,Male,Divorced,9,College,Medical,2,13,2,Research & Development,Travel_Rarely,Manufacturing Director,2,Yes,8847,48,913,13934,11,1,Medium,Medium,Better,Better,Medium,3,3,0,2,2,
700,No,27,Male,Single,3,Master,Medical,0,5,0,Research & Development,Travel_Rarely,Research Scientist,1,No,2045,54,1115,15174,13,0,Very High,Low,Better,Best,Medium,3,4,1,2,1,
701,Yes,20,Male,Single,10,Below College,Medical,1,1,5,Research & Development,Travel_Rarely,Research Scientist,1,Yes,1009,32,1362,26999,11,0,High,Very High,Better,Best,High,3,1,1,0,1,
702,Yes,33,Male,Single,3,Bachelor,Life Sciences,1,10,3,Research & Development,Travel_Frequently,Research Scientist,1,Yes,3348,70,1076,3164,11,0,Low,Low,Better,Bad,High,3,10,9,8,7,
704,No,35,Male,Married,3,Bachelor,Life Sciences,1,1,3,Research & Development,Non-Travel,Laboratory Technician,1,No,1281,41,727,16900,18,2,High,High,Better,Better,Medium,3,1,0,0,0,
705,No,23,Male,Married,4,Bachelor,Medical,2,5,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2819,58,885,8544,16,1,Low,Low,Best,Bad,Very High,3,3,0,2,2,
707,No,25,Male,Married,8,Bachelor,Life Sciences,0,4,4,Sales,Travel_Rarely,Sales Executive,2,No,4851,57,810,15678,22,1,Medium,Very High,Better,Better,Very High,4,3,1,2,2,
709,No,38,Female,Single,7,Master,Marketing,0,8,2,Sales,Travel_Rarely,Sales Executive,2,No,4028,46,243,7791,20,0,Very High,Very High,Better,Bad,Medium,4,7,0,7,5,
710,No,29,Male,Divorced,1,Master,Life Sciences,1,10,5,Research & Development,Travel_Frequently,Research Scientist,1,No,2720,76,806,18959,18,1,Very High,Medium,Better,Best,Low,3,10,2,7,8,
712,No,48,Male,Married,2,Below College,Marketing,3,12,3,Sales,Travel_Rarely,Sales Executive,2,No,8120,56,817,18597,12,0,Medium,Medium,Better,Best,Very High,3,2,2,2,2,
714,No,27,Female,Divorced,3,Below College,Medical,1,6,3,Sales,Travel_Frequently,Sales Executive,2,Yes,4647,71,1410,16673,20,2,Very High,Very High,Better,Good,Very High,4,6,0,5,4,
715,No,37,Male,Single,10,College,Life Sciences,3,4,2,Research & Development,Travel_Rarely,Research Scientist,1,No,4680,80,1225,15232,17,0,Very High,Very High,Better,Bad,Very High,3,1,0,0,0,
716,No,50,Male,Married,28,Below College,Medical,1,20,3,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,3221,74,1207,3297,11,3,High,Very High,Better,Better,Very High,3,20,3,8,8,
717,No,34,Female,Single,9,Bachelor,Medical,1,9,3,Research & Development,Travel_Rarely,Healthcare Representative,3,No,8621,46,1442,17654,14,0,Medium,Very High,Best,Good,Medium,3,8,7,7,7,
720,Yes,24,Female,Single,3,College,Life Sciences,9,4,3,Sales,Travel_Rarely,Sales Executive,2,No,4577,65,693,24785,14,0,High,Low,Better,Bad,High,3,2,2,2,0,
721,No,39,Female,Single,2,Master,Technical Degree,1,20,4,Research & Development,Travel_Rarely,Healthcare Representative,2,No,4553,80,408,20978,11,0,High,Very High,Better,Bad,Medium,3,20,11,7,10,
722,No,32,Male,Single,10,Bachelor,Marketing,1,10,2,Sales,Travel_Rarely,Sales Executive,2,No,5396,55,929,21703,12,0,Very High,Very High,Good,Best,High,3,10,0,7,8,
723,Yes,50,Male,Married,8,College,Technical Degree,3,18,4,Sales,Travel_Frequently,Sales Executive,2,Yes,6796,50,562,23452,14,1,High,Medium,Better,Bad,High,3,4,1,3,3,
724,No,38,Female,Single,1,Master,Life Sciences,0,10,4,Research & Development,Travel_Rarely,Healthcare Representative,2,No,7625,33,827,19383,13,0,Very High,Medium,Good,Better,Very High,3,9,1,7,8,
725,No,27,Female,Married,1,College,Life Sciences,1,9,3,Research & Development,Travel_Rarely,Manufacturing Director,3,No,7412,68,608,6009,11,0,Low,High,Better,Best,High,3,9,0,7,7,
727,No,32,Female,Single,3,College,Life Sciences,3,10,6,Research & Development,Travel_Rarely,Research Director,3,No,11159,39,1018,19373,15,0,Very High,High,Better,Best,High,3,7,7,7,7,
